epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.99861,2.49412,3.92793,2.4206,0.00242,0.14444,0.00118,0.00033,2.49402,4.14012,2.88388,0.00018577,0.00018577,0.00018577
2,8.14701,2.19031,3.26988,2.1882,0.0036,0.20061,0.0018,0.0007,2.29933,4.18655,3.01777,0.000360365,0.000360365,0.000360365
3,12.1329,2.01801,2.46235,1.98687,0.01288,0.32786,0.10415,0.05053,2.18758,4.11846,2.84137,0.000508553,0.000508553,0.000508553
4,16.1241,1.93284,2.09252,1.81831,0.68553,0.22537,0.25122,0.12331,2.12786,3.00946,2.273,0.000630332,0.000630332,0.000630332
5,20.1878,1.8074,1.79351,1.68239,0.74892,0.4146,0.41158,0.22255,2.03738,2.02764,1.81989,0.000725703,0.000725703,0.000725703
6,24.0421,1.70206,1.68972,1.59325,0.82702,0.5365,0.52984,0.28325,2.04899,1.6574,1.62653,0.000794667,0.000794667,0.000794667
7,27.8199,1.63669,1.50198,1.50707,0.83146,0.53271,0.53257,0.28486,2.08146,1.66759,1.64538,0.000837223,0.000837223,0.000837223
8,31.6102,1.57681,1.42859,1.46594,0.83388,0.58226,0.56272,0.3502,1.64984,1.7135,1.46321,0.000768802,0.000768802,0.000768802
9,35.3647,1.50182,1.40401,1.43689,0.86596,0.59756,0.65674,0.422,1.33875,1.7244,1.39669,0.000674488,0.000674488,0.000674488
10,39.1511,1.46047,1.31413,1.41334,0.85328,0.5953,0.72669,0.46075,1.31047,1.3977,1.37566,0.000580174,0.000580174,0.000580174
11,42.9644,1.42217,1.28994,1.40846,0.882,0.56774,0.74905,0.46271,1.31259,1.28743,1.37171,0.00048586,0.00048586,0.00048586
12,46.748,1.38545,1.19672,1.34342,0.6765,0.77652,0.77619,0.48145,1.29332,1.21838,1.3588,0.000391546,0.000391546,0.000391546
13,50.5205,1.36339,1.16956,1.33814,0.75349,0.75201,0.78635,0.49004,1.27521,1.18651,1.34882,0.000297232,0.000297232,0.000297232
14,54.327,1.38789,1.20015,1.37818,0.76534,0.75655,0.79234,0.48222,1.28664,1.1474,1.35608,0.000202918,0.000202918,0.000202918
15,58.12,1.34803,1.17254,1.36481,0.75168,0.79075,0.7932,0.48616,1.28807,1.13412,1.35638,0.000108604,0.000108604,0.000108604
